Date,Stock_symbol,sentiment_score
2019-03-12,GOOG,-0.5
2019-03-12,INTC,-0.5
2019-03-12,NVDA,-0.5
2019-03-13,GOOG,-0.8
2019-03-13,INTC,0.2727272727272727
2019-03-14,INTC,-0.75
2019-03-14,NVDA,-1.0
2019-03-15,GOOG,-0.2727272727272727
2019-03-15,INTC,-0.25
2019-03-15,NVDA,-1.0
2019-03-16,GOOG,1.0
2019-03-16,INTC,0.0
2019-03-17,INTC,1.0
2019-03-18,GOOG,-1.0
2019-03-18,INTC,0.25
2019-03-19,GOOG,-0.8181818181818182
2019-03-19,INTC,-0.25
2019-03-19,NVDA,0.0
2019-03-20,GOOG,-0.7333333333333333
2019-03-20,INTC,-0.2727272727272727
2019-03-20,NVDA,0.3333333333333333
2019-03-21,GOOG,0.2
2019-03-21,INTC,-0.7142857142857143
2019-03-21,NVDA,-1.0
2019-03-22,GOOG,-0.6
2019-03-22,INTC,-0.25
2019-03-22,NVDA,-0.3333333333333333
2019-03-23,INTC,1.0
2019-03-24,GOOG,-1.0
2019-03-24,INTC,-1.0
2019-03-25,GOOG,-0.42857142857142855
2019-03-25,INTC,-0.75
2019-03-26,GOOG,-0.5
2019-03-26,INTC,-0.5
2019-03-26,NVDA,-0.2
2019-03-27,GOOG,-0.6666666666666666
2019-03-27,INTC,-1.0
2019-03-28,GOOG,0.0
2019-03-28,INTC,1.0
2019-03-29,GOOG,-0.3333333333333333
2019-03-29,INTC,-0.6666666666666666
2019-03-30,GOOG,-0.6666666666666666
2019-03-30,INTC,0.0
2019-03-31,GOOG,0.0
2019-03-31,INTC,-1.0
2019-03-31,NVDA,-1.0
2019-04-01,GOOG,-1.0
2019-04-01,INTC,-0.45454545454545453
2019-04-01,NVDA,-1.0
2019-04-02,GOOG,-0.7142857142857143
2019-04-02,INTC,0.42857142857142855
2019-04-03,GOOG,-0.5
2019-04-03,INTC,0.10344827586206896
2019-04-03,NVDA,-1.0
2019-04-04,GOOG,-0.75
2019-04-04,INTC,0.09090909090909091
2019-04-05,GOOG,-0.5
2019-04-05,INTC,-0.3333333333333333
2019-04-06,GOOG,0.0
2019-04-06,INTC,0.0
2019-04-07,GOOG,-0.5555555555555556
2019-04-07,INTC,0.0
2019-04-08,GOOG,-0.16666666666666666
2019-04-08,INTC,0.2727272727272727
2019-04-09,GOOG,0.1111111111111111
2019-04-09,INTC,-0.3333333333333333
2019-04-09,NVDA,-1.0
2019-04-10,GOOG,-0.25
2019-04-10,INTC,-0.14285714285714285
2019-04-11,GOOG,0.2
2019-04-11,INTC,-0.2
2019-04-11,NVDA,1.0
2019-04-12,GOOG,-1.0
2019-04-12,INTC,-0.5
2019-04-12,NVDA,-1.0
2019-04-13,GOOG,-0.3333333333333333
2019-04-13,INTC,1.0
2019-04-14,GOOG,-1.0
2019-04-14,INTC,0.0
2019-04-15,GOOG,-0.75
2019-04-15,INTC,-0.25
2019-04-16,GOOG,-0.5
2019-04-16,INTC,-0.3333333333333333
2019-04-17,GOOG,0.3333333333333333
2019-04-17,INTC,-0.3333333333333333
2019-04-17,NVDA,1.0
2019-04-18,GOOG,-0.2
2019-04-18,INTC,-0.2
2019-04-18,NVDA,1.0
2019-04-19,GOOG,1.0
2019-04-19,INTC,-0.3333333333333333
2019-04-19,NVDA,-1.0
2019-04-20,GOOG,-1.0
2019-04-20,INTC,-1.0
2019-04-21,GOOG,-1.0
2019-04-21,INTC,-0.6
2019-04-22,GOOG,-0.2857142857142857
2019-04-22,INTC,0.2
2019-04-23,GOOG,-0.7777777777777778
2019-04-23,INTC,0.0
2019-04-23,NVDA,-1.0
2019-04-24,GOOG,-0.5
2019-04-24,INTC,-0.2
2019-04-24,NVDA,1.0
2019-04-25,GOOG,-1.0
2019-04-25,INTC,-0.6
2019-04-25,NVDA,-0.6
2019-04-26,GOOG,-0.3333333333333333
2019-04-26,INTC,-0.6216216216216216
2019-04-26,NVDA,0.0
2019-04-27,INTC,-1.0
2019-04-28,GOOG,0.0
2019-04-28,INTC,-1.0
2019-04-29,GOOG,-0.391304347826087
2019-04-29,INTC,0.14285714285714285
2019-04-30,GOOG,-0.7931034482758621
2019-04-30,INTC,-0.2
2019-04-30,NVDA,-1.0
2019-05-01,GOOG,-0.16666666666666666
2019-05-01,INTC,-0.25
2019-05-01,NVDA,1.0
2019-05-02,GOOG,-0.42857142857142855
2019-05-02,INTC,-0.45454545454545453
2019-05-02,NVDA,-1.0
2019-05-03,GOOG,-1.0
2019-05-03,INTC,-1.0
2019-05-04,GOOG,-1.0
2019-05-04,INTC,-1.0
2019-05-05,GOOG,1.0
2019-05-05,INTC,-1.0
2019-05-06,GOOG,0.0
2019-05-06,INTC,0.5
2019-05-06,NVDA,-1.0
2019-05-07,GOOG,-0.3333333333333333
2019-05-07,INTC,-1.0
2019-05-07,NVDA,-1.0
2019-05-08,GOOG,-0.75
2019-05-08,INTC,0.0
2019-05-08,NVDA,-1.0
2019-05-09,GOOG,-1.0
2019-05-09,INTC,-0.7692307692307693
2019-05-09,NVDA,-0.3333333333333333
2019-05-10,GOOG,-1.0
2019-05-10,INTC,-0.6363636363636364
2019-05-10,NVDA,-1.0
2019-05-11,GOOG,1.0
2019-05-12,GOOG,0.0
2019-05-12,INTC,-1.0
2019-05-13,GOOG,-1.0
2019-05-13,INTC,-0.7777777777777778
2019-05-13,NVDA,-1.0
2019-05-14,GOOG,0.0
2019-05-14,INTC,-0.45454545454545453
2019-05-14,NVDA,1.0
2019-05-15,GOOG,-0.8181818181818182
2019-05-15,INTC,-0.45454545454545453
2019-05-15,NVDA,-1.0
2019-05-16,GOOG,-0.2
2019-05-16,INTC,0.0
2019-05-16,NVDA,-0.6
2019-05-17,GOOG,-0.75
2019-05-17,INTC,-0.75
2019-05-17,NVDA,0.0
2019-05-18,GOOG,0.0
2019-05-18,INTC,-1.0
2019-05-19,GOOG,-1.0
2019-05-20,GOOG,-0.7142857142857143
2019-05-20,INTC,-0.7333333333333333
2019-05-20,NVDA,-1.0
2019-05-21,GOOG,-0.5
2019-05-21,INTC,-1.0
2019-05-21,NVDA,0.0
2019-05-22,GOOG,-1.0
2019-05-22,INTC,-0.5555555555555556
2019-05-23,GOOG,-0.7142857142857143
2019-05-23,INTC,-0.25
2019-05-23,NVDA,-1.0
2019-05-24,GOOG,-1.0
2019-05-24,INTC,-0.25
2019-05-25,INTC,0.3333333333333333
2019-05-26,GOOG,-1.0
2019-05-26,INTC,-1.0
2019-05-27,GOOG,-1.0
2019-05-27,INTC,-1.0
2019-05-28,GOOG,-0.7142857142857143
2019-05-28,INTC,-0.4117647058823529
2019-05-28,NVDA,1.0
2019-05-29,GOOG,-0.7142857142857143
2019-05-29,INTC,-0.23076923076923078
2019-05-29,NVDA,-1.0
2019-05-30,GOOG,-1.0
2019-05-30,INTC,-0.2
2019-05-30,NVDA,0.0
2019-05-31,GOOG,-0.7142857142857143
2019-05-31,INTC,-0.6666666666666666
2019-05-31,NVDA,-1.0
2019-06-01,GOOG,-1.0
2019-06-02,GOOG,-0.3333333333333333
2019-06-03,GOOG,-0.6296296296296297
2019-06-03,INTC,-0.14285714285714285
2019-06-04,GOOG,0.1111111111111111
2019-06-04,INTC,-0.6
2019-06-04,NVDA,1.0
2019-06-05,GOOG,0.0
2019-06-05,INTC,0.0
